Game	Song	Link	Articuno2001	AshsBallistics	Ayvuir	azuarc	Celtic Guardian 7	Chinballz	dowolf	Drakeryn	Ed Bellis (tc)	Eddv	FFDragon	FL81	foolm0r0n	Gatarix	GenesisTwilight	greengravy294	Haguile	homsar555	ImTheMacheteGuy	IngmarBirdman	Jeff Zero	JONALEON1	Justin_Crossing	KamikazePotato	kaonashi1	Kaxon	KCF0107	Kenri	KingKracko	Kirbydamasta	KokoroAkechi	Legendary Kapik	LeonhartFone	LeonhartFour	Lightning Strikes	lobsterfest	Lopen	Luis_Sera89	Mac Arrowny	Master Epyon	Mega Mana	MycroProcessor	MysteriousHost	NioraptH	Paratroopa1	PerfectZer0	Prody Parrot	Regaro_Ukiera	SebVettel	Snake5555555555	sonten1	SubDeity	Super Sonic 5	superange128	swordz9	tazzyboyishere	Team Rocket Elite	th3l3fty	The Mana Sword	TheArkOfTurus	TheKnightOfNee	todbot1	ToukaOone	TsunamiXXVIII	WaIker	XIII_rocks	xp1337	Xuxon	xx521xx	X_Dante_X	Ytterbium_70	ZenOfThunder	ZFS	_Harmonica_	
Mana Khemia	Nefertiti	http://www.youtube.com/watch?v=DPO2XhA5F3Q	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Persona 4	The Almighty	http://www.youtube.com/watch?v=FGUGAHTPcak	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Worms Armageddon	Main Theme	http://www.youtube.com/watch?v=6D4Yr3ebNoQ	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rewrite	Anemone flaccida	http://youtu.be/Wp0xitgAc4A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	
Kid Icarus Uprising	Dark Pit	http://www.youtube.com/watch?v=QG77HTdreh0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dark Cloud	Divine Beat Dran	http://www.youtube.com/watch?v=Zsrtynzl5h8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cladun: This is an RPG	Water that Connects Life	http://www.youtube.com/watch?v=lGZMjjb01Mg	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Hoshizora no Memoria	Born Under the Same Star	http://www.youtube.com/watch?v=ZpZHohQthnA&hd=1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ar Tonelico II: Melody of Metafalica	EXEC_SPHILIA/.	https://www.youtube.com/watch?v=4oGdjaLmLqw	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
Baldr Force	Face of Fact	https://www.youtube.com/watch?v=AG2aGMRM4NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Chrono Trigger	Schala's Theme	https://www.youtube.com/watch?v=rIJxrAHuk7Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Digital: A Love Story	Paper Dolls	https://www.youtube.com/watch?v=m-EAZK9X-Rk	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Dungeon Fighter Online	Hamelin	https://www.youtube.com/watch?v=_daylCRkpco	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
